adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,cod_versio,lang,lang1,lang2,lang3,adm0_en,adm3_ref_n,center_lat,center_lon,total_pop_reprod
Nguawala,,,,MZ040702,Macossa,,,,MZ0407,Manica,,,,MZ04,Moçambique,,,,MZ,2019-06-07,,2258.53867375,V_01,pt,,,,Mozambique,Nguawala,-18.37191314,33.66134647,710.928328379989
Nguzene,,,,MZ020603,Chongoene,,,,MZ0206,Gaza,,,,MZ02,Moçambique,,,,MZ,2019-06-07,,433.75765647,V_01,pt,,,,Mozambique,Nguzene,-24.93476828,34.01582563,3420.78394283354
Nhacafula,,,,MZ041102,Tambara,,,,MZ0411,Manica,,,,MZ04,Moçambique,,,,MZ,2019-06-07,,1267.62733309,V_01,pt,,,,Mozambique,Nhacafula,-16.86983938,33.97138758,2728.16234904528
Nhacolo,,,,MZ041103,Tambara,,,,MZ0411,Manica,,,,MZ04,Moçambique,,,,MZ,2019-06-07,,1036.60171465,V_01,pt,,,,Mozambique,Nhacolo,-16.75529159,34.2783789,8528.98517373204
Nhamadze,,,,MZ090802,Gorongosa,,,,MZ0908,Sofala,,,,MZ09,Moçambique,,,,MZ,2019-06-07,,2025.2136686,V_01,pt,,,,Mozambique,Nhamadze,-18.52724688,33.93285256,8118.11954648793
Nhamagua,,,,MZ040703,Macossa,,,,MZ0407,Manica,,,,MZ04,Moçambique,,,,MZ,2019-06-07,,1696.62932214,V_01,pt,,,,Mozambique,Nhamagua,-17.7308058,33.49540202,5768.27715605497
Nhamassonge,,,,MZ040404,Guro,,,,MZ0404,Manica,,,,MZ04,Moçambique,,,,MZ,2019-06-07,,1405.80546834,V_01,pt,,,,Mozambique,Nhamassonge,-16.77979269,33.57948063,899.255506157875
Nhamatanda,,,,MZ091301,Nhamatanda,,,,MZ0913,Sofala,,,,MZ09,Moçambique,,,,MZ,2019-06-07,,2467.0937126,V_01,pt,,,,Mozambique,Nhamatanda,-19.3051282,34.1020497,52087.9162067249
Nhamayabue,,,,MZ101303,Mutarara,,,,MZ1013,Tete,,,,MZ10,Moçambique,,,,MZ,2019-06-07,,1330.78066511,V_01,pt,,,,Mozambique,Nhamayabue,-17.11293984,34.96888492,29219.8131005764
Nhampassa,,,,MZ040103,Barue,,,,MZ0401,Manica,,,,MZ04,Moçambique,,,,MZ,2019-06-07,,1986.44043098,V_01,pt,,,,Mozambique,Nhampassa,-17.56803262,33.19541926,11748.1391209066
Nicoadala,,,,MZ112201,Nicoadala,,,,MZ1122,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,2763.43640006,V_01,pt,,,,Mozambique,Nicoadala,-17.57301843,36.65683567,48258.9683527499
Nihessiue,,,,MZ071803,Murrupula,,,,MZ0718,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,563.57159394,V_01,pt,,,,Mozambique,Nihessiue,-15.64866843,38.70519182,13653.5518464446
Nipepe,,,,MZ081802,Nipepe,,,,MZ0818,Niassa,,,,MZ08,Moçambique,,,,MZ,2019-06-07,,3943.22510311,V_01,pt,,,,Mozambique,Nipepe,-14.04351554,37.89173096,11668.4266808629
Nova Mambone,,,,MZ030301,Govuro,,,,MZ0303,Inhambane,,,,MZ03,Moçambique,,,,MZ,2019-06-07,,1681.79912468,V_01,pt,,,,Mozambique,Nova Mambone,-21.23151306,34.9113307,7625.20032922924
Nsadzu,,,,MZ100403,Chifunde,,,,MZ1004,Tete,,,,MZ10,Moçambique,,,,MZ,2019-06-07,,2585.29131508,V_01,pt,,,,Mozambique,Nsadzu,-14.56344081,32.5173819,3760.93481498957
Ntengo-Wa-Mbalame,,,,MZ101401,Tsangano,,,,MZ1014,Tete,,,,MZ10,Moçambique,,,,MZ,2019-06-07,,1368.40859359,V_01,pt,,,,Mozambique,Ntengo-Wa-Mbalame,-14.89478488,34.40175963,31079.1414154172
Ntlavene,,,,MZ021003,Mabalane,,,,MZ0210,Gaza,,,,MZ02,Moçambique,,,,MZ,2019-06-07,,1747.95182644,V_01,pt,,,,Mozambique,Ntlavene,-23.7802489,32.53449932,835.268162667751
Nungo,,,,MZ081003,Marrupa,,,,MZ0810,Niassa,,,,MZ08,Moçambique,,,,MZ,2019-06-07,,3265.01409579,V_01,pt,,,,Mozambique,Nungo,-13.49976997,37.77217764,1338.62260183692
Ocua,,,,MZ010306,Chiure,,,,MZ0103,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,1048.47833392,V_01,pt,,,,Mozambique,Ocua,-13.60070875,39.6969705,9404.00051319599
Olumbi,,,,MZ011601,Palma,,,,MZ0116,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,1232.23692228,V_01,pt,,,,Mozambique,Olumbi,-11.04468751,40.3904858,1097.20067346096
